experiment,condition,position,accuracy
实验一,1秒每词呈现_即时自由回忆,1,0.900000
实验一,1秒每词呈现_即时自由回忆,2,0.400000
实验一,1秒每词呈现_即时自由回忆,3,0.400000
实验一,1秒每词呈现_即时自由回忆,4,0.400000
实验一,1秒每词呈现_即时自由回忆,5,0.300000
实验一,1秒每词呈现_即时自由回忆,6,0.100000
实验一,1秒每词呈现_即时自由回忆,7,0.200000
实验一,1秒每词呈现_即时自由回忆,8,0.400000
实验一,1秒每词呈现_即时自由回忆,9,0.000000
实验一,1秒每词呈现_即时自由回忆,10,0.300000
实验一,1秒每词呈现_即时自由回忆,11,0.400000
实验一,1秒每词呈现_即时自由回忆,12,0.100000
实验一,1秒每词呈现_即时自由回忆,13,0.200000
实验一,1秒每词呈现_即时自由回忆,14,0.100000
实验一,1秒每词呈现_即时自由回忆,15,0.200000
实验一,1秒每词呈现_即时自由回忆,16,0.200000
实验一,1秒每词呈现_即时自由回忆,17,0.000000
实验一,1秒每词呈现_即时自由回忆,18,0.200000
实验一,1秒每词呈现_即时自由回忆,19,0.400000
实验一,1秒每词呈现_即时自由回忆,20,0.400000
实验一,1秒每词呈现_即时自由回忆,21,0.100000
实验一,1秒每词呈现_即时自由回忆,22,0.200000
实验一,1秒每词呈现_即时自由回忆,23,0.300000
实验一,1秒每词呈现_即时自由回忆,24,0.300000
实验一,1秒每词呈现_即时自由回忆,25,0.100000
实验一,1秒每词呈现_即时自由回忆,26,0.200000
实验一,1秒每词呈现_即时自由回忆,27,0.000000
实验一,1秒每词呈现_即时自由回忆,28,0.200000
实验一,1秒每词呈现_即时自由回忆,29,0.400000
实验一,1秒每词呈现_即时自由回忆,30,0.500000
实验二,2秒每词呈现_即时自由回忆,1,1.000000
实验二,2秒每词呈现_即时自由回忆,2,0.900000
实验二,2秒每词呈现_即时自由回忆,3,0.800000
实验二,2秒每词呈现_即时自由回忆,4,0.400000
实验二,2秒每词呈现_即时自由回忆,5,0.700000
实验二,2秒每词呈现_即时自由回忆,6,0.300000
实验二,2秒每词呈现_即时自由回忆,7,0.600000
实验二,2秒每词呈现_即时自由回忆,8,0.900000
实验二,2秒每词呈现_即时自由回忆,9,0.200000
实验二,2秒每词呈现_即时自由回忆,10,0.400000
实验二,2秒每词呈现_即时自由回忆,11,0.400000
实验二,2秒每词呈现_即时自由回忆,12,0.400000
实验二,2秒每词呈现_即时自由回忆,13,0.100000
实验二,2秒每词呈现_即时自由回忆,14,0.700000
实验二,2秒每词呈现_即时自由回忆,15,0.100000
实验二,2秒每词呈现_即时自由回忆,16,0.700000
实验二,2秒每词呈现_即时自由回忆,17,0.100000
实验二,2秒每词呈现_即时自由回忆,18,0.500000
实验二,2秒每词呈现_即时自由回忆,19,0.200000
实验二,2秒每词呈现_即时自由回忆,20,0.200000
实验二,2秒每词呈现_即时自由回忆,21,0.200000
实验二,2秒每词呈现_即时自由回忆,22,0.300000
实验二,2秒每词呈现_即时自由回忆,23,0.000000
实验二,2秒每词呈现_即时自由回忆,24,0.200000
实验二,2秒每词呈现_即时自由回忆,25,0.200000
实验二,2秒每词呈现_即时自由回忆,26,0.300000
实验二,2秒每词呈现_即时自由回忆,27,0.000000
实验二,2秒每词呈现_即时自由回忆,28,0.100000
实验二,2秒每词呈现_即时自由回忆,29,0.100000
实验二,2秒每词呈现_即时自由回忆,30,0.400000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,1,0.900000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,2,0.000000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,3,0.900000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,4,0.000000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,5,0.300000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,6,0.200000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,7,0.100000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,8,0.500000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,9,0.100000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,10,0.000000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,11,0.300000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,12,0.100000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,13,0.400000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,14,0.500000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,15,0.000000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,16,0.200000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,17,0.200000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,18,0.200000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,19,0.100000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,20,0.100000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,21,0.000000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,22,0.400000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,23,0.100000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,24,0.200000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,25,0.300000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,26,0.300000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,27,0.200000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,28,0.200000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,29,0.000000
实验三,1秒每词呈现_延迟自由回忆_间隔30秒,30,0.200000
